UNITID,OPEID,INSTNM,CITY,Year,UGDS,MAIN,NUMBRANCH,HIGHDEG,REGION,LOCALE,CCSIZSET,PCTPELL,AVGFACSAL,PFTFAC,BOOKSUPPLY,ROOMBOARD_ON,ROOMBOARD_OFF,OTHEREXPENSE_ON,OTHEREXPENSE_OFF,ADMCON7,UGDS_WOMEN,UGDS_MEN,ADM_RATE,SAT_AVG,ACTCMMID,RET_FT4,C150_4,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,OPENADMP,UGDS_delta,UGDS_WOMEN_delta,UGDS_MEN_delta,ADM_RATE_delta,SAT_AVG_delta,ACTCMMID_delta,RET_FT4_delta,C150_4_delta,TUITIONFEE_IN_delta,TUITIONFEE_OUT_delta,UGDS_WHITE_delta,UGDS_BLACK_delta,UGDS_HISP_delta,UGDS_ASIAN_delta,won_One_year_ago,lost_One_year_ago,tied_One_year_ago,games_One_year_ago,won_Two_years_ago,lost_Two_years_ago,tied_Two_years_ago,games_Two_years_ago,won_Three_years_ago,lost_Three_years_ago,tied_Three_years_ago,games_Three_years_ago,won_Four_years_ago,lost_Four_years_ago,tied_Four_years_ago,games_Four_years_ago,won_Five_years_ago,lost_Five_years_ago,tied_Five_years_ago,games_Five_years_ago,won_Six_years_ago,lost_Six_years_ago,tied_Six_years_ago,games_Six_years_ago,won_Seven_years_ago,lost_Seven_years_ago,tied_Seven_years_ago,games_Seven_years_ago,won_Eight_years_ago,lost_Eight_years_ago,tied_Eight_years_ago,games_Eight_years_ago,won_Nine_years_ago,lost_Nine_years_ago,tied_Nine_years_ago,games_Nine_years_ago,won_Ten_years_ago,lost_Ten_years_ago,tied_Ten_years_ago,games_Ten_years_ago,won_Eleven_year_ago,lost_Eleven_year_ago,tied_Eleven_year_ago,games_Eleven_year_ago,won_Twelve_years_ago,lost_Twelve_years_ago,tied_Twelve_years_ago,games_Twelve_years_ago,won_Thirteen_years_ago,lost_Thirteen_years_ago,tied_Thirteen_years_ago,games_Thirteen_years_ago,won_Fourteen_years_ago,lost_Fourteen_years_ago,tied_Fourteen_years_ago,games_Fourteen_years_ago,won_Fifteen_years_ago,lost_Fifteen_years_ago,tied_Fifteen_years_ago,games_Fifteen_years_ago,won_Sixteen_years_ago,lost_Sixteen_years_ago,tied_Sixteen_years_ago,games_Sixteen_years_ago,won_Seventeen_years_ago,lost_Seventeen_years_ago,tied_Seventeen_years_ago,games_Seventeen_years_ago,won_Eighteen_years_ago,lost_Eighteen_years_ago,tied_Eighteen_years_ago,games_Eighteen_years_ago,won_Nineteen_years_ago,lost_Nineteen_years_ago,tied_Nineteen_years_ago,games_Nineteen_years_ago,won_Twenty_years_ago,lost_Twenty_years_ago,tied_Twenty_years_ago,games_Twenty_years_ago
199193,00297200,North Carolina State University at Raleigh,Raleigh,1996,19026.0,1,1,4,5,11,13,0.2073,6566.0,0.8804,975.0,8284.0,8496.0,2442.0,2600.0,1,0.394,0.606,,1197.0,27.0,0.9258,0.71225,7018.0,19853.0,0.73195,0.06115,0.04765,0.0563,2,,,,,,,,,,,,,,,9,3,0,12,7,5,0,12,9,3,1,13,9,3,0,12,7,5,0,12,7,5,0,12,8,3,1,12,4,7,0,11,8,3,1,12,3,8,0,11,3,8,0,11,3,8,0,11,6,5,0,11,4,7,0,11,6,5,0,11,7,4,0,11,9,3,0,12,8,4,0,12,3,7,1,11,7,4,1,12
201885,00312500,University of Cincinnati-Main Campus,Cincinnati,1996,19898.0,1,3,4,3,11,13,0.2168,6541.0,0.5511,1200.0,9741.0,10417.0,4618.0,5238.0,1,0.4683,0.5317,,1132.5,25.0,0.8557,0.47495,10419.0,24942.0,0.7476,0.07365,0.02945,0.0332,2,,,,,,,,,,,,,,,2,8,1,11,8,3,0,11,3,8,0,11,4,7,0,11,1,10,0,11,1,8,1,10,3,8,0,11,4,7,0,11,5,6,0,11,5,6,0,11,2,9,0,11,4,6,1,11,6,5,0,11,6,5,0,11,2,9,0,11,2,9,0,11,5,6,0,11,5,4,2,11,8,3,0,11,6,5,0,11
207388,00317000,Oklahoma State University-Main Campus,Stillwater,1996,14588.0,1,1,4,6,32,13,0.2813,5856.0,0.8749,1030.0,8050.0,8710.0,4510.0,4645.0,1,0.4613,0.5387,,1124.5,25.0,0.7998,0.5966,7107.0,18455.0,0.6907000000000001,0.044800000000000006,0.0665,0.0174,2,,,,,,,,,,,,,,,3,7,1,11,3,8,0,11,4,6,1,11,0,10,1,11,4,7,0,11,4,7,0,11,10,2,0,12,10,2,0,12,6,5,0,11,8,4,0,12,10,2,0,12,8,4,0,12,4,5,2,11,7,5,0,12,3,7,1,11,7,4,0,11,3,8,0,11,4,7,0,11,9,3,0,12,7,4,0,11
207500,00318400,University of Oklahoma-Norman Campus,Norman,1996,15664.0,1,1,4,6,22,13,0.2321,5671.0,0.8243,884.0,7943.0,8922.0,4602.5,4980.5,1,0.4535,0.5465,,1182.5,26.0,0.85,0.64465,8325.0,19278.0,0.61555,0.048100000000000004,0.0927,0.06085,2,,,,,,,,,,,,,,,6,6,0,12,9,3,0,12,5,4,2,11,9,3,0,12,8,3,0,11,7,4,0,11,9,3,0,12,11,1,0,12,11,1,0,12,11,1,0,12,9,2,1,12,8,4,0,12,8,4,0,12,7,4,1,12,10,2,0,12,11,1,0,12,11,1,0,12,10,2,0,12,9,2,1,12,11,1,0,12
207971,00318500,University of Tulsa,Tulsa,1996,2896.0,1,1,4,6,11,13,0.1628,5603.0,0.7741,1200.0,9266.0,8588.0,4524.0,4524.0,1,0.5249,0.4751,,1255.5,28.0,0.8552,0.6401,31551.0,31551.0,0.5577,0.0583,0.0484,0.0391,2,,,,,,,,,,,,,,,3,8,0,11,4,6,1,11,4,7,0,11,10,2,0,12,3,8,0,11,6,6,0,12,4,7,0,11,3,8,0,11,7,4,0,11,6,5,0,11,6,5,0,11,8,3,0,11,10,1,0,11,6,5,0,11,8,3,0,11,6,5,0,11,9,2,0,11,3,8,0,11,7,4,1,12,7,4,0,11
211291,00323800,Bucknell University,Lewisburg,1996,3346.0,1,1,4,2,32,13,0.1051,6503.0,0.9789,900.0,10156.0,12436.0,2000.0,2113.0,1,0.4979,0.5021,,1308.5,29.5,0.9371,0.8892,43866.0,43866.0,0.7621,0.0341,0.06255,0.0445,2,,,,,,,,,,,,,,,5,6,0,11,4,7,0,11,4,7,0,11,1,9,0,10,7,4,0,11,5,5,0,10,3,7,0,10,4,5,1,10,3,7,0,10,3,7,0,10,5,5,0,10,4,5,1,10,4,6,0,10,4,6,0,10,6,4,0,10,4,4,2,10,5,5,0,10,4,5,0,9,4,5,0,9,5,4,0,9
215293,00337900,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,1996,15260.0,1,1,4,2,11,13,0.1614,6508.0,0.7461,758.5,9330.0,9330.0,2760.0,2681.0,1,0.5252,0.4748,,1260.0,28.0,0.9224,0.7800499999999999,16132.0,25540.0,0.7449,0.054,0.0316,0.0903,2,,,,,,,,,,,,,,,3,8,0,11,3,8,0,11,3,9,0,12,6,5,0,11,3,7,1,11,8,3,1,12,6,5,0,11,8,4,0,12,6,4,1,11,5,5,1,11,3,7,1,11,8,3,1,12,9,3,0,12,11,1,0,12,11,1,0,12,11,1,0,12,8,4,0,12,9,2,1,12,12,0,0,12,8,4,0,12
217882,00342500,Clemson University,Clemson,1996,12520.0,1,1,4,5,22,13,0.1692,5896.0,0.8867,1015.0,7131.0,9144.0,4133.0,3938.0,1,0.4507,0.5493,,1241.0,28.0,0.9194,0.7886,12304.0,28462.0,0.831,0.06470000000000001,0.0336,0.0229,2,,,,,,,,,,,,,,,5,6,0,11,9,3,0,12,5,6,0,11,9,2,1,12,10,2,0,12,10,2,0,12,10,2,0,12,10,2,0,12,8,2,2,12,6,6,0,12,7,4,0,11,9,1,1,11,9,1,1,11,12,0,0,12,6,5,0,11,8,4,0,12,11,1,0,12,8,3,1,12,3,6,2,11,2,9,0,11
218663,00344800,University of South Carolina-Columbia,Columbia,1996,14225.0,1,1,4,5,12,13,0.2076,6083.0,0.728,943.0,7895.0,10112.0,3942.5,4085.0,1,0.5437,0.4563,,1198.0,27.0,0.8722,0.6832499999999999,10168.0,26352.0,0.7691,0.09359999999999999,0.04415,0.027549999999999998,2,,,,,,,,,,,,,,,7,5,0,12,5,6,0,11,5,6,0,11,3,6,2,11,6,5,0,11,6,4,1,11,8,4,0,12,8,4,0,12,3,6,2,11,5,6,0,11,10,2,0,12,5,6,0,11,4,7,0,11,6,6,0,12,8,4,0,12,8,4,0,12,5,5,1,11,5,7,0,12,6,5,0,11,7,5,0,12
218724,00345100,Coastal Carolina University,Conway,1996,3810.0,1,1,4,5,13,13,0.3493,4376.0,1.0,1066.5,7525.0,7985.0,3689.5,4102.5,1,0.5472,0.4528,,1029.0,22.0,0.6714,0.4298,9760.0,21560.0,0.6886,0.1945,0.04235,0.00695,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
